start,low,high,open,close,volume,MA,STD,Z_Score,zscoremeanreversion_signal,signal
2025-06-18 03:00:00,2.846,2.8886,2.8519,2.8818,360928.3,2.873355,0.04410350833401271,0.1914813655195597,0,0
2025-06-18 04:00:00,2.8788,2.9164,2.882,2.909,383085.2,2.8707350000000003,0.03995960163912816,0.9575921288096809,0,0
2025-06-18 05:00:00,2.8928,2.919,2.9092,2.9,526359.8,2.8683699999999996,0.03643379142903831,0.8681501089889496,0,0
2025-06-18 06:00:00,2.8539,2.9039,2.9002,2.8658,417048.9,2.86449,0.03186899004229237,0.04110578961748342,0,0
2025-06-18 07:00:00,2.8511,2.8715,2.8656,2.8671,309156,2.862135,0.02966641331450965,0.1673609798179405,0,0
2025-06-18 08:00:00,2.7569,2.8773,2.8671,2.7756,3299724.7,2.855705,0.033727834436699994,-2.3750413075093872,1,1
2025-06-18 09:00:00,2.7363,2.7974,2.7777,2.7507,1826206.7,2.8477799999999998,0.03874477350152165,-2.5056282751578594,1,1
2025-06-18 10:00:00,2.7069,2.7568,2.7509,2.7169,1719777.3,2.83947,0.04758534825364939,-2.5757928542763158,1,1
2025-06-18 11:00:00,2.7139,2.7764,2.716,2.7714,1087641,2.834985,0.0496229496460963,-1.2813627656856201,0,0
2025-06-18 12:00:00,2.7396,2.7729,2.7698,2.7432,642808.5,2.83173,0.05345278388693366,-1.6562280495486192,1,1
2025-06-18 13:00:00,2.718,2.7674,2.7432,2.7662,1208228.3,2.829065,0.05538827802076314,-1.1349874422244006,0,0
2025-06-18 14:00:00,2.7548,2.8151,2.7664,2.7777,1775317.7,2.82489,0.05598235530292796,-0.842944169545006,0,0
2025-06-18 15:00:00,2.7668,2.7993,2.777,2.7769,548490.1,2.81994,0.05561021678186884,-0.7739585006263225,0,0
2025-06-18 16:00:00,2.762,2.7858,2.7773,2.7802,443957.6,2.8164499999999997,0.055814302072046205,-0.6494751103974691,0,0
2025-06-18 17:00:00,2.7646,2.8105,2.7796,2.804,493398.5,2.814555,0.055547499588428584,-0.19001755395302913,0,0
2025-06-18 18:00:00,2.765,2.8262,2.8041,2.768,1365624.5,2.811795,0.056459230516599235,-0.7756924704654689,0,0
2025-06-18 19:00:00,2.7619,2.8076,2.7678,2.7701,1087477.8,2.80847,0.0568781347314283,-0.6746001812678727,0,0
2025-06-18 20:00:00,2.7617,2.8429,2.7704,2.828,1016085.4,2.80767,0.05646310486084266,0.3600581308821874,0,0
2025-06-18 21:00:00,2.8034,2.846,2.8288,2.8368,937936.7,2.80708,0.05607320966473621,0.5300213805790175,0,0
2025-06-18 22:00:00,2.8296,2.8473,2.8364,2.8388,501883,2.80641,0.05558362973697426,0.5827255282404501,0,0
